"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Cód.";"Município";"Ano"
"1304104";"Tapauá (AM)";"318010"
"1304203";"Tefé (AM)";"1619517"
"1304237";"Tonantins (AM)";"214602"
"1304260";"Uarini (AM)";"265246"
"1304302";"Urucará (AM)";"244547"
"1304401";"Urucurituba (AM)";"297173"
"1400027";"Amajari (RR)";"329100"
"1400050";"Alto Alegre (RR)";"802540"
"1400100";"Boa Vista (RR)";"18234169"
"1400159";"Bonfim (RR)";"772903"
"1400175";"Cantá (RR)";"498394"
"1400209";"Caracaraí (RR)";"637454"
"1400233";"Caroebe (RR)";"317377"
"1400282";"Iracema (RR)";"279559"
"1400308";"Mucajaí (RR)";"552044"
"1400407";"Normandia (RR)";"370956"
"1400456";"Pacaraima (RR)";"447421"
"1400472";"Rorainópolis (RR)";"981040"
"1400506";"São João da Baliza (RR)";"425809"
"1400605";"São Luiz (RR)";"221585"
"1400704";"Uiramutã (RR)";"254453"
"1500107";"Abaetetuba (PA)";"2441092"
"1500131";"Abel Figueiredo (PA)";"131077"
"1500206";"Acará (PA)";"2111467"
"1500305";"Afuá (PA)";"665557"
"1500347";"Água Azul do Norte (PA)";"1047226"
"1500404";"Alenquer (PA)";"1578584"
"1500503";"Almeirim (PA)";"593847"
"1500602";"Altamira (PA)";"3887894"
"1500701";"Anajás (PA)";"370838"
"1500800";"Ananindeua (PA)";"11473897"
"1500859";"Anapu (PA)";"715999"
"1500909";"Augusto Corrêa (PA)";"490157"
"1500958";"Aurora do Pará (PA)";"390415"
"1501006";"Aveiro (PA)";"228317"
"1501105";"Bagre (PA)";"329848"
"1501204";"Baião (PA)";"799363"
"1501253";"Bannach (PA)";"153995"
"1501303";"Barcarena (PA)";"9190033"
"1501402";"Belém (PA)";"40536062"
"1501451";"Belterra (PA)";"352844"
"1501501";"Benevides (PA)";"3338145"
"1501576";"Bom Jesus do Tocantins (PA)";"336974"
"1501600";"Bonito (PA)";"147258"
"1501709";"Bragança (PA)";"1977330"
"1501725";"Brasil Novo (PA)";"517482"
"1501758";"Brejo Grande do Araguaia (PA)";"143221"
"1501782";"Breu Branco (PA)";"802221"
"1501808";"Breves (PA)";"1515250"
"1501907";"Bujaru (PA)";"688320"
"1501956";"Cachoeira do Piriá (PA)";"237908"
"1502004";"Cachoeira do Arari (PA)";"354702"
"1502103";"Cametá (PA)";"1901553"
"1502152";"Canaã dos Carajás (PA)";"16621560"
"1502202";"Capanema (PA)";"1883282"
"1502301";"Capitão Poço (PA)";"900134"
"1502400";"Castanhal (PA)";"6318091"
"1502509";"Chaves (PA)";"331190"
"1502608";"Colares (PA)";"136194"
"1502707";"Conceição do Araguaia (PA)";"985296"
"1502756";"Concórdia do Pará (PA)";"520832"
"1502764";"Cumaru do Norte (PA)";"479032"
"1502772";"Curionópolis (PA)";"737806"
"1502806";"Curralinho (PA)";"396832"
"1502855";"Curuá (PA)";"192168"
"1502905";"Curuçá (PA)";"485458"
"1502939";"Dom Eliseu (PA)";"1332437"
"1502954";"Eldorado do Carajás (PA)";"736064"
"1503002";"Faro (PA)";"102052"
"1503044";"Floresta do Araguaia (PA)";"657025"
"1503077";"Garrafão do Norte (PA)";"426847"
"1503093";"Goianésia do Pará (PA)";"595811"
"1503101";"Gurupá (PA)";"489497"
"1503200";"Igarapé-Açu (PA)";"599286"
"1503309";"Igarapé-Miri (PA)";"1021946"
"1503408";"Inhangapi (PA)";"230530"
"1503457";"Ipixuna do Pará (PA)";"612707"
"1503507";"Irituia (PA)";"377735"
"1503606";"Itaituba (PA)";"3806020"
