"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Cód.";"Município";"Ano"
"2516300";"Sumé (PB)";"255601"
"2516409";"Tacima (PB)";"106670"
"2516508";"Taperoá (PB)";"169781"
"2516607";"Tavares (PB)";"167333"
"2516706";"Teixeira (PB)";"222479"
"2516755";"Tenório (PB)";"40231"
"2516805";"Triunfo (PB)";"121796"
"2516904";"Uiraúna (PB)";"245510"
"2517001";"Umbuzeiro (PB)";"118557"
"2517100";"Várzea (PB)";"46408"
"2517209";"Vieirópolis (PB)";"59242"
"2517407";"Zabelê (PB)";"35337"
"2600054";"Abreu e Lima (PE)";"2129775"
"2600104";"Afogados da Ingazeira (PE)";"651001"
"2600203";"Afrânio (PE)";"271668"
"2600302";"Agrestina (PE)";"368076"
"2600401";"Água Preta (PE)";"263642"
"2600500";"Águas Belas (PE)";"489637"
"2600609";"Alagoinha (PE)";"199751"
"2600708";"Aliança (PE)";"472449"
"2600807";"Altinho (PE)";"302022"
"2600906";"Amaraji (PE)";"307792"
"2601003";"Angelim (PE)";"186927"
"2601052";"Araçoiaba (PE)";"203113"
"2601102";"Araripina (PE)";"1777713"
"2601201";"Arcoverde (PE)";"1503621"
"2601300";"Barra de Guabiraba (PE)";"197017"
"2601409";"Barreiros (PE)";"645437"
"2601508";"Belém de Maria (PE)";"110733"
"2601607";"Belém do São Francisco (PE)";"715390"
"2601706";"Belo Jardim (PE)";"3429628"
"2601805";"Betânia (PE)";"125498"
"2601904";"Bezerros (PE)";"1089685"
"2602001";"Bodocó (PE)";"388247"
"2602100";"Bom Conselho (PE)";"801671"
"2602209";"Bom Jardim (PE)";"419042"
"2602308";"Bonito (PE)";"736191"
"2602407";"Brejão (PE)";"226948"
"2602506";"Brejinho (PE)";"95683"
"2602605";"Brejo da Madre de Deus (PE)";"530035"
"2602704";"Buenos Aires (PE)";"163217"
"2602803";"Buíque (PE)";"647063"
"2602902";"Cabo de Santo Agostinho (PE)";"15897620"
"2603009";"Cabrobó (PE)";"536175"
"2603108";"Cachoeirinha (PE)";"290338"
"2603207";"Caetés (PE)";"503212"
"2603306";"Calçado (PE)";"134331"
"2603405";"Calumbi (PE)";"62249"
"2603454";"Camaragibe (PE)";"2436552"
"2603504";"Camocim de São Félix (PE)";"209246"
"2603603";"Camutanga (PE)";"427495"
"2603702";"Canhotinho (PE)";"364996"
"2603801";"Capoeiras (PE)";"266090"
"2603900";"Carnaíba (PE)";"212891"
"2603926";"Carnaubeira da Penha (PE)";"107059"
"2604007";"Carpina (PE)";"1937470"
"2604106";"Caruaru (PE)";"11238434"
"2604155";"Casinhas (PE)";"125631"
"2604205";"Catende (PE)";"390075"
"2604304";"Cedro (PE)";"133554"
"2604403";"Chã de Alegria (PE)";"190273"
"2604502";"Chã Grande (PE)";"325129"
"2604601";"Condado (PE)";"294987"
"2604700";"Correntes (PE)";"211880"
"2604809";"Cortês (PE)";"147761"
"2604908";"Cumaru (PE)";"163890"
"2605004";"Cupira (PE)";"355809"
"2605103";"Custódia (PE)";"759609"
"2605152";"Dormentes (PE)";"311854"
"2605202";"Escada (PE)";"1582303"
"2605301";"Exu (PE)";"440315"
"2605400";"Feira Nova (PE)";"274542"
"2605459";"Fernando de Noronha (PE)";"304923"
"2605509";"Ferreiros (PE)";"171423"
"2605608";"Flores (PE)";"245679"
"2605707";"Floresta (PE)";"583259"
"2605806";"Frei Miguelinho (PE)";"152032"
"2605905";"Gameleira (PE)";"248184"
"2606002";"Garanhuns (PE)";"3834635"
"2606101";"Glória do Goitá (PE)";"626114"
"2606200";"Goiana (PE)";"13893623"
"2606309";"Granito (PE)";"91071"
"2606408";"Gravatá (PE)";"1637743"
"2606507";"Iati (PE)";"236013"
"2606606";"Ibimirim (PE)";"425355"
"2606705";"Ibirajuba (PE)";"99153"
"2606804";"Igarassu (PE)";"3770816"
"2606903";"Iguaracy (PE)";"122068"
"2607000";"Inajá (PE)";"276204"
"2607109";"Ingazeira (PE)";"65457"
"2607208";"Ipojuca (PE)";"17972323"
"2607307";"Ipubi (PE)";"412535"
"2607406";"Itacuruba (PE)";"82430"
"2607505";"Itaíba (PE)";"390249"
"2607604";"Ilha de Itamaracá (PE)";"298295"
"2607653";"Itambé (PE)";"586823"
"2607703";"Itapetim (PE)";"170269"
"2607752";"Itapissuma (PE)";"3258624"
"2607802";"Itaquitinga (PE)";"223249"
"2607901";"Jaboatão dos Guararapes (PE)";"20281298"
"2607950";"Jaqueira (PE)";"129334"
"2608008";"Jataúba (PE)";"192384"
"2608057";"Jatobá (PE)";"183614"
"2608107";"João Alfredo (PE)";"354879"
"2608206";"Joaquim Nabuco (PE)";"164491"
"2608255";"Jucati (PE)";"142790"
"2608305";"Jupi (PE)";"247150"
"2608404";"Jurema (PE)";"146166"
"2608453";"Lagoa do Carro (PE)";"327921"
"2608503";"Lagoa de Itaenga (PE)";"551074"
"2608602";"Lagoa do Ouro (PE)";"150180"
"2608701";"Lagoa dos Gatos (PE)";"168831"
"2608750";"Lagoa Grande (PE)";"713609"
"2608800";"Lajedo (PE)";"706467"
"2608909";"Limoeiro (PE)";"991140"
"2609006";"Macaparana (PE)";"359208"
"2609105";"Machados (PE)";"271714"
"2609154";"Manari (PE)";"183154"
"2609204";"Maraial (PE)";"110045"
"2609303";"Mirandiba (PE)";"221207"
"2609402";"Moreno (PE)";"1118309"
"2609501";"Nazaré da Mata (PE)";"777087"
"2609600";"Olinda (PE)";"7024917"
"2609709";"Orobó (PE)";"582870"
"2609808";"Orocó (PE)";"192309"
"2609907";"Ouricuri (PE)";"1016704"
"2610004";"Palmares (PE)";"1156052"
"2610103";"Palmeirina (PE)";"91362"
"2610202";"Panelas (PE)";"239945"
"2610301";"Paranatama (PE)";"306364"
"2610400";"Parnamirim (PE)";"268156"
"2610509";"Passira (PE)";"293500"
"2610608";"Paudalho (PE)";"1151981"
"2610707";"Paulista (PE)";"6999013"
"2610806";"Pedra (PE)";"426036"
"2610905";"Pesqueira (PE)";"1082144"
"2611002";"Petrolândia (PE)";"1568603"
"2611101";"Petrolina (PE)";"10577530"
"2611200";"Poção (PE)";"132807"
"2611309";"Pombos (PE)";"635845"
"2611408";"Primavera (PE)";"320399"
"2611507";"Quipapá (PE)";"211463"
"2611533";"Quixaba (PE)";"75902"
"2611606";"Recife (PE)";"66351305"
"2611705";"Riacho das Almas (PE)";"289327"
"2611804";"Ribeirão (PE)";"601649"
"2611903";"Rio Formoso (PE)";"374545"
"2612000";"Sairé (PE)";"204199"
"2612109";"Salgadinho (PE)";"76619"
"2612208";"Salgueiro (PE)";"1389969"
"2612307";"Saloá (PE)";"251854"
"2612406";"Sanharó (PE)";"269694"
"2612455";"Santa Cruz (PE)";"156125"
"2612471";"Santa Cruz da Baixa Verde (PE)";"143723"
"2612505";"Santa Cruz do Capibaribe (PE)";"2125695"
"2612554";"Santa Filomena (PE)";"133150"
"2612604";"Santa Maria da Boa Vista (PE)";"781893"
"2612703";"Santa Maria do Cambucá (PE)";"151435"
"2612802";"Santa Terezinha (PE)";"122739"
"2612901";"São Benedito do Sul (PE)";"129076"
"2613008";"São Bento do Una (PE)";"1909078"
"2613107";"São Caitano (PE)";"575982"
"2613206";"São João (PE)";"374387"
"2613305";"São Joaquim do Monte (PE)";"258411"
"2613404";"São José da Coroa Grande (PE)";"389471"
"2613503";"São José do Belmonte (PE)";"529903"
"2613602";"São José do Egito (PE)";"471426"
"2613701";"São Lourenço da Mata (PE)";"1791059"
"2613800";"São Vicente Férrer (PE)";"384212"
"2613909";"Serra Talhada (PE)";"2003113"
"2614006";"Serrita (PE)";"195989"
"2614105";"Sertânia (PE)";"404067"
"2614204";"Sirinhaém (PE)";"861417"
"2614303";"Moreilândia (PE)";"106462"
"2614402";"Solidão (PE)";"63051"
"2614501";"Surubim (PE)";"1131954"
"2614600";"Tabira (PE)";"358223"
"2614709";"Tacaimbó (PE)";"221749"
"2614808";"Tacaratu (PE)";"262198"
"2614857";"Tamandaré (PE)";"432297"
"2615003";"Taquaritinga do Norte (PE)";"402088"
"2615102";"Terezinha (PE)";"91621"
"2615201";"Terra Nova (PE)";"125359"
"2615300";"Timbaúba (PE)";"905265"
"2615409";"Toritama (PE)";"812755"
"2615508";"Tracunhaém (PE)";"198570"
"2615607";"Trindade (PE)";"654211"
"2615706";"Triunfo (PE)";"202205"
"2615805";"Tupanatinga (PE)";"275931"
"2615904";"Tuparetama (PE)";"95042"
"2616001";"Venturosa (PE)";"291065"
"2616100";"Verdejante (PE)";"103221"
"2616183";"Vertente do Lério (PE)";"93452"
"2616209";"Vertentes (PE)";"228836"
"2616308";"Vicência (PE)";"615581"
"2616407";"Vitória de Santo Antão (PE)";"6095992"
"2616506";"Xexéu (PE)";"201330"
"2700102";"Água Branca (AL)";"246052"
"2700201";"Anadia (AL)";"276952"
"2700300";"Arapiraca (AL)";"6880940"
"2700409";"Atalaia (AL)";"1637107"
"2700508";"Barra de Santo Antônio (AL)";"358501"
"2700607";"Barra de São Miguel (AL)";"304436"
"2700706";"Batalha (AL)";"308733"
"2700805";"Belém (AL)";"187160"
"2700904";"Belo Monte (AL)";"196377"
"2701001";"Boca da Mata (AL)";"565491"
"2701100";"Branquinha (AL)";"849267"
"2701209";"Cacimbinhas (AL)";"195083"
"2701308";"Cajueiro (AL)";"223748"
"2701357";"Campestre (AL)";"109805"
"2701407";"Campo Alegre (AL)";"884685"
"2701506";"Campo Grande (AL)";"113470"
"2701605";"Canapi (AL)";"235141"
"2701704";"Capela (AL)";"250653"
"2701803";"Carneiros (AL)";"97601"
"2701902";"Chã Preta (AL)";"289693"
"2702009";"Coité do Nóia (AL)";"234385"
"2702108";"Colônia Leopoldina (AL)";"367109"
"2702207";"Coqueiro Seco (AL)";"115662"
"2702306";"Coruripe (AL)";"2400819"
"2702355";"Craíbas (AL)";"450187"
"2702405";"Delmiro Gouveia (AL)";"911191"
"2702504";"Dois Riachos (AL)";"140027"
"2702553";"Estrela de Alagoas (AL)";"177063"
"2702603";"Feira Grande (AL)";"500385"
"2702702";"Feliz Deserto (AL)";"218958"
"2702801";"Flexeiras (AL)";"251580"
"2702900";"Girau do Ponciano (AL)";"602812"
"2703007";"Ibateguara (AL)";"223883"
"2703106";"Igaci (AL)";"328695"
"2703205";"Igreja Nova (AL)";"697572"
"2703304";"Inhapi (AL)";"210039"
"2703403";"Jacaré dos Homens (AL)";"78412"
"2703502";"Jacuípe (AL)";"144753"
"2703601";"Japaratinga (AL)";"329293"
"2703700";"Jaramataia (AL)";"81577"
"2703759";"Jequiá da Praia (AL)";"456621"
"2703809";"Joaquim Gomes (AL)";"541697"
"2703908";"Jundiá (AL)";"92728"
"2704005";"Junqueiro (AL)";"705482"
"2704104";"Lagoa da Canoa (AL)";"333780"
"2704203";"Limoeiro de Anadia (AL)";"806003"
"2704302";"Maceió (AL)";"33749576"
"2704401";"Major Isidoro (AL)";"296433"
"2704500";"Maragogi (AL)";"1219926"
"2704609";"Maravilha (AL)";"134024"
"2704708";"Marechal Deodoro (AL)";"3185683"
"2704807";"Maribondo (AL)";"222264"
"2704906";"Mar Vermelho (AL)";"51607"
"2705002";"Mata Grande (AL)";"400974"
"2705101";"Matriz de Camaragibe (AL)";"514991"
"2705200";"Messias (AL)";"351253"
"2705309";"Minador do Negrão (AL)";"90125"
"2705408";"Monteirópolis (AL)";"109208"
"2705507";"Murici (AL)";"1080389"
"2705606";"Novo Lino (AL)";"240603"
"2705705";"Olho d'Água das Flores (AL)";"343111"
"2705804";"Olho d'Água do Casado (AL)";"100592"
"2705903";"Olho d'Água Grande (AL)";"72758"
"2706000";"Olivença (AL)";"135134"
"2706109";"Ouro Branco (AL)";"150495"
"2706208";"Palestina (AL)";"48822"
"2706307";"Palmeira dos Índios (AL)";"1367252"
"2706406";"Pão de Açúcar (AL)";"282237"
"2706422";"Pariconha (AL)";"119510"
"2706448";"Paripueira (AL)";"302559"
"2706505";"Passo de Camaragibe (AL)";"378391"
"2706604";"Paulo Jacinto (AL)";"108187"
"2706703";"Penedo (AL)";"1159276"
"2706802";"Piaçabuçu (AL)";"480484"
"2706901";"Pilar (AL)";"957605"
"2707008";"Pindoba (AL)";"53808"
"2707107";"Piranhas (AL)";"358241"
"2707206";"Poço das Trincheiras (AL)";"146801"
"2707305";"Porto Calvo (AL)";"544520"
"2707404";"Porto de Pedras (AL)";"451598"
"2707503";"Porto Real do Colégio (AL)";"294351"
"2707602";"Quebrangulo (AL)";"195018"
"2707701";"Rio Largo (AL)";"2032761"
"2707800";"Roteiro (AL)";"247076"
"2707909";"Santa Luzia do Norte (AL)";"199948"
"2708006";"Santana do Ipanema (AL)";"863267"
"2708105";"Santana do Mundaú (AL)";"1127361"
"2708204";"São Brás (AL)";"123934"
"2708303";"São José da Laje (AL)";"816993"
"2708402";"São José da Tapera (AL)";"421128"
"2708501";"São Luís do Quitunde (AL)";"1052903"
"2708600";"São Miguel dos Campos (AL)";"1594206"
"2708709";"São Miguel dos Milagres (AL)";"308510"
"2708808";"São Sebastião (AL)";"736908"
"2708907";"Satuba (AL)";"369184"
"2708956";"Senador Rui Palmeira (AL)";"137332"
"2709004";"Tanque d'Arca (AL)";"92869"
"2709103";"Taquarana (AL)";"664759"
"2709152";"Teotônio Vilela (AL)";"941856"
"2709202";"Traipu (AL)";"357715"
"2709301";"União dos Palmares (AL)";"1693998"
"2709400";"Viçosa (AL)";"596814"
"2800100";"Amparo do São Francisco (SE)";"49412"
"2800209";"Aquidabã (SE)";"362299"
"2800308";"Aracaju (SE)";"22291877"
"2800407";"Arauá (SE)";"203787"
"2800506";"Areia Branca (SE)";"353834"
"2800605";"Barra dos Coqueiros (SE)";"2478982"
"2800670";"Boquim (SE)";"436636"
"2800704";"Brejo Grande (SE)";"122926"
"2801009";"Campo do Brito (SE)";"354386"
"2801108";"Canhoba (SE)";"95135"
"2801207";"Canindé de São Francisco (SE)";"2967957"
"2801306";"Capela (SE)";"595061"
"2801405";"Carira (SE)";"723769"
"2801504";"Carmópolis (SE)";"464417"
"2801603";"Cedro de São João (SE)";"84949"
"2801702";"Cristinápolis (SE)";"589914"
"2801900";"Cumbe (SE)";"82671"
"2802007";"Divina Pastora (SE)";"240797"
"2802106";"Estância (SE)";"1473225"
"2802205";"Feira Nova (SE)";"169357"
"2802304";"Frei Paulo (SE)";"551019"
"2802403";"Gararu (SE)";"217566"
"2802502";"General Maynard (SE)";"50397"
"2802601";"Graccho Cardoso (SE)";"139799"
"2802700";"Ilha das Flores (SE)";"118392"
"2802809";"Indiaroba (SE)";"322888"
"2802908";"Itabaiana (SE)";"2942686"
"2803005";"Itabaianinha (SE)";"865772"
"2803104";"Itabi (SE)";"101138"
"2803203";"Itaporanga d'Ajuda (SE)";"562366"
"2803302";"Japaratuba (SE)";"549070"
"2803401";"Japoatã (SE)";"298620"
"2803500";"Lagarto (SE)";"2177825"
"2803609";"Laranjeiras (SE)";"638033"
"2803708";"Macambira (SE)";"136318"
"2803807";"Malhada dos Bois (SE)";"67244"
"2803906";"Malhador (SE)";"224467"
"2804003";"Maruim (SE)";"320963"
"2804102";"Moita Bonita (SE)";"280140"
"2804201";"Monte Alegre de Sergipe (SE)";"337201"
"2804300";"Muribeca (SE)";"112544"
"2804409";"Neópolis (SE)";"382705"
"2804458";"Nossa Senhora Aparecida (SE)";"209605"
"2804508";"Nossa Senhora da Glória (SE)";"1048320"
"2804607";"Nossa Senhora das Dores (SE)";"540610"
"2804706";"Nossa Senhora de Lourdes (SE)";"115910"
"2804805";"Nossa Senhora do Socorro (SE)";"2852077"
"2804904";"Pacatuba (SE)";"219432"
"2805000";"Pedra Mole (SE)";"74512"
"2805109";"Pedrinhas (SE)";"128570"
"2805208";"Pinhão (SE)";"141417"
"2805307";"Pirambu (SE)";"155336"
"2805406";"Poço Redondo (SE)";"763539"
"2805505";"Poço Verde (SE)";"388823"
"2805604";"Porto da Folha (SE)";"637808"
"2805703";"Propriá (SE)";"614880"
"2805802";"Riachão do Dantas (SE)";"419339"
"2805901";"Riachuelo (SE)";"240563"
"2806008";"Ribeirópolis (SE)";"372071"
"2806107";"Rosário do Catete (SE)";"391878"
"2806206";"Salgado (SE)";"320943"
"2806305";"Santa Luzia do Itanhy (SE)";"238278"
"2806404";"Santana do São Francisco (SE)";"160615"
"2806503";"Santa Rosa de Lima (SE)";"59186"
"2806602";"Santo Amaro das Brotas (SE)";"227942"
"2806701";"São Cristóvão (SE)";"1392938"
"2806800";"São Domingos (SE)";"161345"
"2806909";"São Francisco (SE)";"61511"
"2807006";"São Miguel do Aleixo (SE)";"79123"
"2807105";"Simão Dias (SE)";"925387"
"2807204";"Siriri (SE)";"201981"
"2807303";"Telha (SE)";"53467"
"2807402";"Tobias Barreto (SE)";"1150010"
"2807501";"Tomar do Geru (SE)";"208833"
"2807600";"Umbaúba (SE)";"721872"
"2900108";"Abaíra (BA)";"84854"
"2900207";"Abaré (BA)";"224239"
"2900306";"Acajutiba (BA)";"186446"
"2900355";"Adustina (BA)";"275494"
"2900405";"Água Fria (BA)";"174798"
"2900504";"Érico Cardoso (BA)";"102934"
"2900603";"Aiquara (BA)";"75418"
"2900702";"Alagoinhas (BA)";"5705227"
"2900801";"Alcobaça (BA)";"439082"
"2900900";"Almadina (BA)";"79711"
"2901007";"Amargosa (BA)";"608765"
"2901106";"Amélia Rodrigues (BA)";"521349"
"2901155";"América Dourada (BA)";"198616"
"2901205";"Anagé (BA)";"299895"
"2901304";"Andaraí (BA)";"178408"
"2901353";"Andorinha (BA)";"252206"
"2901403";"Angical (BA)";"229298"
"2901502";"Anguera (BA)";"118552"
"2901601";"Antas (BA)";"197870"
"2901700";"Antônio Cardoso (BA)";"138793"
"2901809";"Antônio Gonçalves (BA)";"108500"
"2901908";"Aporá (BA)";"191758"
"2901957";"Apuarema (BA)";"90729"
"2902005";"Aracatu (BA)";"174004"
"2902054";"Araçás (BA)";"325622"
"2902104";"Araci (BA)";"642812"
"2902203";"Aramari (BA)";"138749"
"2902252";"Arataca (BA)";"135073"
"2902302";"Aratuípe (BA)";"107370"
"2902401";"Aurelino Leal (BA)";"180021"
"2902500";"Baianópolis (BA)";"362686"
"2902609";"Baixa Grande (BA)";"226704"
"2902658";"Banzaê (BA)";"152081"
"2902708";"Barra (BA)";"558493"
"2902807";"Barra da Estiva (BA)";"589439"
"2902906";"Barra do Choça (BA)";"540750"
"2903003";"Barra do Mendes (BA)";"143356"
"2903102";"Barra do Rocha (BA)";"107927"
"2903201";"Barreiras (BA)";"9499499"
"2903235";"Barro Alto (BA)";"137538"
"2903276";"Barrocas (BA)";"289668"
"2903300";"Barro Preto (BA)";"112869"
"2903409";"Belmonte (BA)";"432368"
"2903508";"Belo Campo (BA)";"217596"
"2903607";"Biritinga (BA)";"234654"
"2903706";"Boa Nova (BA)";"144910"
"2903805";"Boa Vista do Tupim (BA)";"187249"
"2903904";"Bom Jesus da Lapa (BA)";"1554154"
"2903953";"Bom Jesus da Serra (BA)";"92366"
"2904001";"Boninal (BA)";"146376"
"2904050";"Bonito (BA)";"265009"
"2904100";"Boquira (BA)";"221071"
"2904209";"Botuporã (BA)";"132225"
"2904308";"Brejões (BA)";"168676"
"2904407";"Brejolândia (BA)";"146903"
"2904506";"Brotas de Macaúbas (BA)";"141253"
"2904605";"Brumado (BA)";"1931839"
"2904704";"Buerarema (BA)";"237932"
"2904753";"Buritirama (BA)";"191820"
"2904803";"Caatiba (BA)";"97532"
"2904852";"Cabaceiras do Paraguaçu (BA)";"186028"
"2904902";"Cachoeira (BA)";"521416"
"2905008";"Caculé (BA)";"429993"
"2905107";"Caém (BA)";"127401"
"2905156";"Caetanos (BA)";"114113"
"2905206";"Caetité (BA)";"1216743"
"2905305";"Cafarnaum (BA)";"277214"
"2905404";"Cairu (BA)";"1442325"
"2905503";"Caldeirão Grande (BA)";"138755"
"2905602";"Camacan (BA)";"470760"
"2905701";"Camaçari (BA)";"27418878"
"2905800";"Camamu (BA)";"557662"
"2905909";"Campo Alegre de Lourdes (BA)";"383421"
"2906006";"Campo Formoso (BA)";"1617786"
"2906105";"Canápolis (BA)";"110069"
"2906204";"Canarana (BA)";"305656"
"2906303";"Canavieiras (BA)";"510979"
"2906402";"Candeal (BA)";"84961"
"2906501";"Candeias (BA)";"5750026"
"2906600";"Candiba (BA)";"170088"
"2906709";"Cândido Sales (BA)";"289057"
"2906808";"Cansanção (BA)";"510493"
"2906824";"Canudos (BA)";"203667"
"2906857";"Capela do Alto Alegre (BA)";"164342"
"2906873";"Capim Grosso (BA)";"801016"
"2906899";"Caraíbas (BA)";"123402"
"2906907";"Caravelas (BA)";"413319"
"2907004";"Cardeal da Silva (BA)";"140042"
"2907103";"Carinhanha (BA)";"377035"
"2907202";"Casa Nova (BA)";"1135276"
"2907301";"Castro Alves (BA)";"431938"
"2907400";"Catolândia (BA)";"93082"
"2907509";"Catu (BA)";"928641"
"2907558";"Caturama (BA)";"105134"
"2907608";"Central (BA)";"180701"
"2907707";"Chorrochó (BA)";"137581"
"2907806";"Cícero Dantas (BA)";"503222"
"2907905";"Cipó (BA)";"214616"
"2908002";"Coaraci (BA)";"256643"
"2908101";"Cocos (BA)";"733217"
"2908200";"Conceição da Feira (BA)";"430602"
"2908309";"Conceição do Almeida (BA)";"236507"
"2908408";"Conceição do Coité (BA)";"1122063"
"2908507";"Conceição do Jacuípe (BA)";"2634469"
"2908606";"Conde (BA)";"365282"
"2908705";"Condeúba (BA)";"203311"
"2908804";"Contendas do Sincorá (BA)";"63627"
"2908903";"Coração de Maria (BA)";"325844"
"2909000";"Cordeiros (BA)";"79050"
"2909109";"Coribe (BA)";"207786"
"2909208";"Coronel João Sá (BA)";"258088"
"2909307";"Correntina (BA)";"3806363"
"2909406";"Cotegipe (BA)";"214457"
"2909505";"Cravolândia (BA)";"57703"
"2909604";"Crisópolis (BA)";"262120"
"2909703";"Cristópolis (BA)";"218525"
"2909802";"Cruz das Almas (BA)";"1279175"
"2909901";"Curaçá (BA)";"499932"
"2910008";"Dário Meira (BA)";"155287"
"2910057";"Dias d'Ávila (BA)";"2377818"
"2910107";"Dom Basílio (BA)";"177243"
"2910206";"Dom Macedo Costa (BA)";"60840"
"2910305";"Elísio Medrado (BA)";"104130"
"2910404";"Encruzilhada (BA)";"254828"
"2910503";"Entre Rios (BA)";"790786"
"2910602";"Esplanada (BA)";"810980"
"2910701";"Euclides da Cunha (BA)";"959548"
"2910727";"Eunápolis (BA)";"4264493"
"2910750";"Fátima (BA)";"298891"
"2910776";"Feira da Mata (BA)";"83140"
"2910800";"Feira de Santana (BA)";"21846455"
"2910859";"Filadélfia (BA)";"201628"
"2910909";"Firmino Alves (BA)";"88592"
"2911006";"Floresta Azul (BA)";"134079"
"2911105";"Formosa do Rio Preto (BA)";"5334933"
"2911204";"Gandu (BA)";"598643"
"2911253";"Gavião (BA)";"64349"
"2911303";"Gentio do Ouro (BA)";"563487"
"2911402";"Glória (BA)";"297615"
"2911501";"Gongogi (BA)";"91564"
"2911600";"Governador Mangabeira (BA)";"284847"
"2911659";"Guajeru (BA)";"86286"
"2911709";"Guanambi (BA)";"2028013"
"2911808";"Guaratinga (BA)";"318837"
"2911857";"Heliópolis (BA)";"170531"
"2911907";"Iaçu (BA)";"309737"
"2912004";"Ibiassucê (BA)";"121230"
"2912103";"Ibicaraí (BA)";"265632"
"2912202";"Ibicoara (BA)";"517754"
"2912301";"Ibicuí (BA)";"224503"
"2912400";"Ibipeba (BA)";"201181"
"2912509";"Ibipitanga (BA)";"155050"
"2912608";"Ibiquera (BA)";"48874"
"2912707";"Ibirapitanga (BA)";"385351"
"2912806";"Ibirapuã (BA)";"486182"
"2912905";"Ibirataia (BA)";"274185"
"2913002";"Ibitiara (BA)";"145140"
"2913101";"Ibititá (BA)";"181670"
"2913200";"Ibotirama (BA)";"544229"
"2913309";"Ichu (BA)";"72148"
"2913408";"Igaporã (BA)";"237186"
"2913457";"Igrapiúna (BA)";"248015"
"2913507";"Iguaí (BA)";"282578"
"2913606";"Ilhéus (BA)";"7234381"
"2913705";"Inhambupe (BA)";"728057"
"2913804";"Ipecaetá (BA)";"141404"
"2913903";"Ipiaú (BA)";"714938"
"2914000";"Ipirá (BA)";"799164"
"2914109";"Ipupiara (BA)";"138064"
"2914208";"Irajuba (BA)";"81310"
"2914307";"Iramaia (BA)";"128688"
"2914406";"Iraquara (BA)";"695113"
"2914505";"Irará (BA)";"385665"
"2914604";"Irecê (BA)";"1963173"
"2914653";"Itabela (BA)";"669663"
"2914703";"Itaberaba (BA)";"1267187"
"2914802";"Itabuna (BA)";"5152367"
"2914901";"Itacaré (BA)";"563115"
"2915007";"Itaeté (BA)";"151142"
"2915106";"Itagi (BA)";"162850"
"2915205";"Itagibá (BA)";"746823"
"2915304";"Itagimirim (BA)";"153619"
"2915353";"Itaguaçu da Bahia (BA)";"173901"
"2915403";"Itaju do Colônia (BA)";"110197"
"2915502";"Itajuípe (BA)";"382795"
"2915601";"Itamaraju (BA)";"1395506"
"2915700";"Itamari (BA)";"118906"
"2915809";"Itambé (BA)";"403898"
"2915908";"Itanagra (BA)";"110577"
"2916005";"Itanhém (BA)";"341096"
"2916104";"Itaparica (BA)";"298514"
"2916203";"Itapé (BA)";"135712"
"2916302";"Itapebi (BA)";"329116"
"2916401";"Itapetinga (BA)";"1938472"
"2916500";"Itapicuru (BA)";"534863"
"2916609";"Itapitanga (BA)";"124199"
"2916708";"Itaquara (BA)";"105758"
"2916807";"Itarantim (BA)";"375540"
"2916856";"Itatim (BA)";"513401"
"2916906";"Itiruçu (BA)";"152011"
"2917003";"Itiúba (BA)";"429678"
"2917102";"Itororó (BA)";"281112"
"2917201";"Ituaçu (BA)";"341991"
"2917300";"Ituberá (BA)";"420873"
"2917334";"Iuiu (BA)";"179353"
"2917359";"Jaborandi (BA)";"1527845"
"2917409";"Jacaraci (BA)";"150696"
"2917508";"Jacobina (BA)";"2030142"
"2917607";"Jaguaquara (BA)";"807069"
"2917706";"Jaguarari (BA)";"805704"
"2917805";"Jaguaripe (BA)";"261121"
"2917904";"Jandaíra (BA)";"217807"
"2918001";"Jequié (BA)";"3882707"
"2918100";"Jeremoabo (BA)";"623856"
"2918209";"Jiquiriçá (BA)";"195943"
"2918308";"Jitaúna (BA)";"253023"
"2918357";"João Dourado (BA)";"347835"
"2918407";"Juazeiro (BA)";"6159604"
"2918456";"Jucuruçu (BA)";"152424"
"2918506";"Jussara (BA)";"151838"
"2918555";"Jussari (BA)";"90404"
"2918605";"Jussiape (BA)";"87228"
"2918704";"Lafaiete Coutinho (BA)";"70953"
"2918753";"Lagoa Real (BA)";"147332"
"2918803";"Laje (BA)";"344541"
"2918902";"Lajedão (BA)";"132126"
"2919009";"Lajedinho (BA)";"66280"
"2919058";"Lajedo do Tabocal (BA)";"102350"
"2919108";"Lamarão (BA)";"83252"
"2919157";"Lapão (BA)";"381812"
"2919207";"Lauro de Freitas (BA)";"8918480"
"2919306";"Lençóis (BA)";"210370"
"2919405";"Licínio de Almeida (BA)";"165212"
"2919504";"Livramento de Nossa Senhora (BA)";"705491"
"2919553";"Luís Eduardo Magalhães (BA)";"11559024"
"2919603";"Macajuba (BA)";"108592"
"2919702";"Macarani (BA)";"269681"
"2919801";"Macaúbas (BA)";"549586"
"2919900";"Macururé (BA)";"80972"
"2919926";"Madre de Deus (BA)";"710438"
"2919959";"Maetinga (BA)";"81860"
"2920007";"Maiquinique (BA)";"210896"
"2920106";"Mairi (BA)";"211982"
"2920205";"Malhada (BA)";"238293"
