municipio,ano_mes,passageiros
ALTA FLORESTA,2025-06,2388.0
ALTA FLORESTA,2025-07,1573.0
ALTA FLORESTA,2025-08,1552.0
ALTA FLORESTA,2025-09,1402.0
ALTA FLORESTA,2025-10,1408.0
ALTA FLORESTA,2025-11,1257.0
ALTA FLORESTA,2025-12,1492.0
ALTAMIRA,2021-01,3314.0
ALTAMIRA,2021-02,2518.0
ALTAMIRA,2021-03,2111.0
ALTAMIRA,2021-04,1805.0
ALTAMIRA,2021-05,2533.0
ALTAMIRA,2021-06,2754.0
ALTAMIRA,2021-07,3694.0
ALTAMIRA,2021-08,3241.0
ALTAMIRA,2021-09,3562.0
ALTAMIRA,2021-10,3654.0
ALTAMIRA,2021-11,3763.0
ALTAMIRA,2021-12,4014.0
ALTAMIRA,2022-01,3586.0
ALTAMIRA,2022-02,2611.0
ALTAMIRA,2022-03,3020.0
ALTAMIRA,2022-04,3197.0
ALTAMIRA,2022-05,3273.0
ALTAMIRA,2022-06,3535.0
ALTAMIRA,2022-07,4286.0
ALTAMIRA,2022-08,3858.0
ALTAMIRA,2022-09,3486.0
ALTAMIRA,2022-10,3141.0
ALTAMIRA,2022-11,3524.0
ALTAMIRA,2022-12,3927.0
ALTAMIRA,2023-01,3852.0
ALTAMIRA,2023-02,3164.0
ALTAMIRA,2023-03,3006.0
ALTAMIRA,2023-04,3439.0
ALTAMIRA,2023-05,3539.0
ALTAMIRA,2023-06,3960.0
ALTAMIRA,2023-07,4214.0
ALTAMIRA,2023-08,4014.0
ALTAMIRA,2023-09,3655.0
ALTAMIRA,2023-10,3732.0
ALTAMIRA,2023-11,4081.0
ALTAMIRA,2023-12,4787.0
ALTAMIRA,2024-01,5201.0
ALTAMIRA,2024-02,3971.0
ALTAMIRA,2024-03,4336.0
ALTAMIRA,2024-04,4230.0
ALTAMIRA,2024-05,4862.0
ALTAMIRA,2024-06,4950.0
ALTAMIRA,2024-07,4884.0
ALTAMIRA,2024-08,4143.0
ALTAMIRA,2024-09,3723.0
ALTAMIRA,2024-10,3824.0
ALTAMIRA,2024-11,3616.0
ALTAMIRA,2024-12,3655.0
ALTAMIRA,2025-01,3230.0
ALTAMIRA,2025-02,3224.0
ALTAMIRA,2025-03,3342.0
ALTAMIRA,2025-04,3652.0
ALTAMIRA,2025-05,3593.0
ALTAMIRA,2025-06,3937.0
ALTAMIRA,2025-07,3906.0
ALTAMIRA,2025-08,3876.0
ALTAMIRA,2025-09,3910.0
ALTAMIRA,2025-10,4025.0
ALTAMIRA,2025-11,3490.0
ALTAMIRA,2025-12,4097.0
ANGRA DOS REIS,2021-01,325.0
ANGRA DOS REIS,2021-02,47.0
ANGRA DOS REIS,2023-04,0.0
ANGRA DOS REIS,2023-12,0.0
ANGRA DOS REIS,2024-01,0.0
ANGRA DOS REIS,2024-12,0.0
ANGRA DOS REIS,2025-01,9.0
ANGRA DOS REIS,2025-03,0.0
ANGRA DOS REIS,2025-04,0.0
ANÁPOLIS,2021-08,0.0
APUCARANA,2021-09,12.0
APUCARANA,2021-10,25.0
APUCARANA,2021-11,18.0
APUCARANA,2021-12,2.0
APUCARANA,2022-01,3.0
APUCARANA,2022-02,71.0
APUCARANA,2022-03,65.0
APUCARANA,2022-04,69.0
APUCARANA,2022-05,29.0
APUCARANA,2022-06,10.0
APUCARANA,2022-07,16.0
APUCARANA,2022-08,36.0
APUCARANA,2022-09,28.0
APUCARANA,2022-10,17.0
APUCARANA,2022-11,10.0
APUCARANA,2022-12,1.0
APUÍ,2022-12,59.0
APUÍ,2023-01,66.0
APUÍ,2023-02,35.0
APUÍ,2023-03,46.0
APUÍ,2023-04,36.0
APUÍ,2023-05,42.0
APUÍ,2023-06,21.0
APUÍ,2023-07,38.0
APUÍ,2023-08,29.0
APUÍ,2023-09,24.0
APUÍ,2023-11,8.0
APUÍ,2024-03,55.0
APUÍ,2024-04,66.0
APUÍ,2024-05,61.0
APUÍ,2024-06,50.0
APUÍ,2024-07,62.0
APUÍ,2024-08,50.0
APUÍ,2024-09,38.0
APUÍ,2024-10,74.0
APUÍ,2024-11,66.0
APUÍ,2024-12,58.0
APUÍ,2025-01,40.0
APUÍ,2025-02,53.0
APUÍ,2025-03,24.0
APUÍ,2025-04,76.0
APUÍ,2025-05,64.0
APUÍ,2025-06,40.0
APUÍ,2025-07,64.0
APUÍ,2025-08,48.0
APUÍ,2025-09,66.0
APUÍ,2025-10,53.0
APUÍ,2025-11,51.0
APUÍ,2025-12,61.0
